Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
"Аппарат  ВТ-02-1-""Вибротестер-МБН""";КРД000284;КРД Терапевтическое отделение;09.02.2012
Велоэргометр для проведения нагрузочных тестов e-Bike с принадлежностями;КРД000083;КРД Терапевтическое отделение;04.04.2011
Монитор 24 часовой регистрации АД пациента носимый Tonoport V;БП-000303;КРД Терапевтическое отделение;05.08.2022
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  ;УПК006371;КРД Терапевтическое отделение;10.06.2013
"Система функционирования диагностики нагрузочных тестов ""CARDIO SOFT"" с принадлежностями";КРД000082;КРД Терапевтическое отделение;30.08.2011
Дефибрилятор CardioServ с принадлежностями Нов-к;НСК000016;КРД Терапевтическое отделение;04.11.2011
Электрокардиограф МАС 600 с принадлежностями;БП-000299;КРД Терапевтическое отделение;09.08.2022
Аппарат физиотерапевтический ФИЗИОСОН-БЕЙСИК-портативный;УФА000028;КРД Терапевтическое отделение;30.08.2011
Комплекс программно-аппаратный суточного мониторирования АД «БиПиЛаб»;БП-000276;КРД Терапевтическое отделение;05.08.2022
Комплекс суточного мониторирования ЭКГ «МИОКАРД-ХОЛТЕР-2» с 2-мя кардиорегистратором без экрана;БП-000277;КРД Терапевтическое отделение;05.08.2022
Комплекс суточного мониторирования ЭКГ «МИОКАРД-ХОЛТЕР-2» с 2-мя кардиорегистратором без экрана;БП-000278;КРД Терапевтическое отделение;05.08.2022
Электрокардиограф МАС 1600  с принадлежностями;УПК006600;КРД Терапевтическое отделение;30.04.2013
Кресло гинекологическое КГМ-3П;НСК000188;КРД Терапевтическое отделение;30.08.2013
Монитор 24 часовой регистрации АД пациента носимый Tonoport V с принадлежностями;БП-000067;КРД Терапевтическое отделение;01.12.2021
Комплекс компьютерный многофункциональный для исслед. ЭМГ, ВП и ЭРГ и ОАЭ Нейро-МВП-В;КРД000289;КРД Терапевтическое отделение;20.09.2012
Нейровизор БММ-24 в комплекте с компьютером и Neurotravel Video, пуско-наладкой;БП-000284;КРД Терапевтическое отделение;08.08.2022
"Анализатор-монитор биопотенциалов головного мозга ""Нейронвизор-БММ"" (Краснодар)";КРД000281;КРД Терапевтическое отделение;31.10.2011
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";КРД000286;КРД Терапевтическое отделение;18.06.2012
"Аппарат УВЧ-60 ""Мед ТеКо""";УПК007889;КРД Терапевтическое отделение;03.06.2019
Экспресс-анализатор иммунохроматографический портативный Nano-Checker 710 с принадлежностями;УПК007776;КРД Терапевтическое отделение;13.05.2019
Эвакуатор дыма Clian Vac (Клин Вак);КРД000093;КРД Терапевтическое отделение;28.02.2011
Монитор 24 часовой регистрации АД пациента носимый Tonoport V с принадлежностями;БП-000066;КРД Терапевтическое отделение;01.12.2021
